,group,variable,value
317,Viet Nam,Denmark,0.86039886
318,Viet Nam,Netherlands,0.866855524
319,Viet Nam,Iceland,0.86039886
320,Viet Nam,Norway,0.843930636
321,Viet Nam,Portugal,0.823529412
322,Viet Nam,Greece,0.837209302
323,Viet Nam,Czech Republic,0.787878788
324,Viet Nam,Slovakia,0.791540785
325,Viet Nam,Hungary,0.787878788
326,Viet Nam,Bulgaria,0.819526627
327,Viet Nam,Cyprus,0.798798799
328,Viet Nam,Romania,0.753894081
329,Viet Nam,Estonia,0.820058997
330,Viet Nam,Lithuania,0.805970149
331,Viet Nam,Malta,0.765432099
332,Viet Nam,Ireland,0.826979472
333,Viet Nam,United Kingdom,0.837209302
334,Viet Nam,Latvia,0.84057971
335,Viet Nam,Belgium,0.820058997
336,Viet Nam,Luxembourg,0.823529412
337,Viet Nam,Switzerland,0.863636364
338,Viet Nam,Austria,0.873239437
339,Viet Nam,Germany,0.888888889
340,Viet Nam,Spain,0.947368421
341,Viet Nam,Brazil,0.938992042
342,Viet Nam,Guatamala,0.947368421
343,Viet Nam,Peru,0.96373057
344,Viet Nam,Ecuador,0.955613577
345,Viet Nam,Bolivia,0.936170213
346,Viet Nam,Colombia,0.950131234
347,Viet Nam,Paraguay,0.961038961
348,Viet Nam,Chile,0.969072165
349,Viet Nam,Uruguay,0.952879581
350,Viet Nam,Argentina,0.936170213
351,Viet Nam,Dominican Republic,0.947368421
352,Viet Nam,Costa Rica,0.91598916
353,Viet Nam,Nicaragua,0.913043478
354,Viet Nam,Honduras,0.91598916
355,Viet Nam,El Savador,0.91598916
356,Viet Nam,Panama,0.921832884
357,Viet Nam,Mexico,0.944591029
358,Viet Nam,United States,0.833819242
359,Viet Nam,Canada,0.80239521
360,Viet Nam,Australia,0.780487805
361,Viet Nam,New Zealand,0.787878788
362,Viet Nam,South Africa,0.753894081
363,Malaysia,Malaysia,0
364,Malaysia,Singapore,0.406374502
365,Malaysia,Hong Kong,0.634812287
366,Malaysia,Taiwan,0.692810458
367,Malaysia,India,0.761609907
368,Malaysia,Israel,0.791540785
369,Malaysia,France,0.933333333
370,Malaysia,Italy,0.927613941
371,Malaysia,Sweden,0.870056497
372,Malaysia,Finland,0.863636364
373,Malaysia,Poland,0.853868195
374,Malaysia,Denmark,0.837209302
375,Malaysia,Netherlands,0.837209302
376,Malaysia,Iceland,0.837209302
377,Malaysia,Norway,0.80239521
378,Malaysia,Portugal,0.791540785
379,Malaysia,Greece,0.805970149
380,Malaysia,Czech Republic,0.757763975
381,Malaysia,Slovakia,0.746081505
382,Malaysia,Hungary,0.742138365
383,Malaysia,Bulgaria,0.783536585
384,Malaysia,Cyprus,0.75
385,Malaysia,Romania,0.709677419
386,Malaysia,Estonia,0.769230769
387,Malaysia,Lithuania,0.753894081
388,Malaysia,Malta,0.701298701
389,Malaysia,Ireland,0.784194529
390,Malaysia,United Kingdom,0.80952381
391,Malaysia,Latvia,0.795180723
392,Malaysia,Belgium,0.80239521
393,Malaysia,Luxembourg,0.784194529
394,Malaysia,Switzerland,0.830409357
395,Malaysia,Austria,0.833819242
396,Malaysia,Germany,0.86039886
397,Malaysia,Spain,0.944591029
398,Malaysia,Brazil,0.938992042
399,Malaysia,Guatamala,0.947368421
400,Malaysia,Peru,0.96373057
401,Malaysia,Ecuador,0.955613577
402,Malaysia,Bolivia,0.938992042
403,Malaysia,Colombia,0.952879581
404,Malaysia,Paraguay,0.961038961
405,Malaysia,Chile,0.969072165
406,Malaysia,Uruguay,0.952879581
407,Malaysia,Argentina,0.933333333
408,Malaysia,Dominican Republic,0.944591029
409,Malaysia,Costa Rica,0.913043478
410,Malaysia,Nicaragua,0.910081744
411,Malaysia,Honduras,0.918918919
412,Malaysia,El Savador,0.91598916
413,Malaysia,Panama,0.921832884
414,Malaysia,Mexico,0.944591029
415,Malaysia,United States,0.791540785
416,Malaysia,Canada,0.746081505
417,Malaysia,Australia,0.713826367
418,Malaysia,New Zealand,0.72611465
419,Malaysia,South Africa,0.679867987
420,Singapore,Singapore,0
421,Singapore,Hong Kong,0.507462687
422,Singapore,Taiwan,0.566308244
423,Singapore,India,0.757763975
424,Singapore,Israel,0.77675841
425,Singapore,France,0.927613941
426,Singapore,Italy,0.924731183
427,Singapore,Sweden,0.86039886
428,Singapore,Finland,0.857142857
429,Singapore,Poland,0.847262248
430,Singapore,Denmark,0.833819242
431,Singapore,Netherlands,0.830409357
432,Singapore,Iceland,0.837209302
433,Singapore,Norway,0.80239521
434,Singapore,Portugal,0.784194529
435,Singapore,Greece,0.798798799
436,Singapore,Czech Republic,0.742138365
437,Singapore,Slovakia,0.72611465
438,Singapore,Hungary,0.717948718
439,Singapore,Bulgaria,0.77607362
440,Singapore,Cyprus,0.742138365
441,Singapore,Romania,0.692810458
442,Singapore,Estonia,0.761609907
443,Singapore,Lithuania,0.746081505
444,Singapore,Malta,0.679867987
445,Singapore,Ireland,0.773006135
446,Singapore,United Kingdom,0.80239521
447,Singapore,Latvia,0.791540785
448,Singapore,Belgium,0.791540785
449,Singapore,Luxembourg,0.773006135
450,Singapore,Switzerland,0.823529412
451,Singapore,Austria,0.833819242
452,Singapore,Germany,0.857142857
453,Singapore,Spain,0.938992042
454,Singapore,Brazil,0.938992042
455,Singapore,Guatamala,0.941798942
456,Singapore,Peru,0.958333333
457,Singapore,Ecuador,0.950131234
458,Singapore,Bolivia,0.930481283
459,Singapore,Colombia,0.944591029
460,Singapore,Paraguay,0.955613577
461,Singapore,Chile,0.96373057
462,Singapore,Uruguay,0.947368421
463,Singapore,Argentina,0.927613941
464,Singapore,Dominican Republic,0.938992042
465,Singapore,Costa Rica,0.901098901
466,Singapore,Nicaragua,0.895027624
467,Singapore,Honduras,0.910081744
468,Singapore,El Savador,0.907103825
469,Singapore,Panama,0.91598916
470,Singapore,Mexico,0.938992042
471,Singapore,United States,0.791540785
472,Singapore,Canada,0.738170347
473,Singapore,Australia,0.717948718
474,Singapore,New Zealand,0.742138365
475,Singapore,South Africa,0.679867987
476,Hong Kong,Hong Kong,0
477,Hong Kong,Taiwan,0.581560284
478,Hong Kong,India,0.780487805
479,Hong Kong,Israel,0.791540785
480,Hong Kong,France,0.924731183
481,Hong Kong,Italy,0.924731183
482,Hong Kong,Sweden,0.857142857
483,Hong Kong,Finland,0.853868195
484,Hong Kong,Poland,0.853868195
485,Hong Kong,Denmark,0.830409357
486,Hong Kong,Netherlands,0.833819242
487,Hong Kong,Iceland,0.837209302
488,Hong Kong,Norway,0.795180723
489,Hong Kong,Portugal,0.80239521
490,Hong Kong,Greece,0.795180723
491,Hong Kong,Czech Republic,0.746081505
492,Hong Kong,Slovakia,0.734177215
493,Hong Kong,Hungary,0.738170347
494,Hong Kong,Bulgaria,0.77607362
495,Hong Kong,Cyprus,0.75
496,Hong Kong,Romania,0.72611465
497,Hong Kong,Estonia,0.761609907
498,Hong Kong,Lithuania,0.75
499,Hong Kong,Malta,0.705501618
500,Hong Kong,Ireland,0.780487805
501,Hong Kong,United Kingdom,0.805970149
502,Hong Kong,Latvia,0.791540785
503,Hong Kong,Belgium,0.795180723
504,Hong Kong,Luxembourg,0.77675841
505,Hong Kong,Switzerland,0.823529412
506,Hong Kong,Austria,0.830409357
507,Hong Kong,Germany,0.853868195
508,Hong Kong,Spain,0.936170213
509,Hong Kong,Brazil,0.933333333
510,Hong Kong,Guatamala,0.941798942
511,Hong Kong,Peru,0.958333333
512,Hong Kong,Ecuador,0.950131234
513,Hong Kong,Bolivia,0.930481283
514,Hong Kong,Colombia,0.947368421
515,Hong Kong,Paraguay,0.955613577
516,Hong Kong,Chile,0.96373057
517,Hong Kong,Uruguay,0.947368421
518,Hong Kong,Argentina,0.927613941
519,Hong Kong,Dominican Republic,0.938992042
520,Hong Kong,Costa Rica,0.907103825
521,Hong Kong,Nicaragua,0.907103825
522,Hong Kong,Honduras,0.913043478
523,Hong Kong,El Savador,0.910081744
524,Hong Kong,Panama,0.91598916
525,Hong Kong,Mexico,0.938992042
526,Hong Kong,United States,0.80239521
527,Hong Kong,Canada,0.75
528,Hong Kong,Australia,0.742138365
529,Hong Kong,New Zealand,0.757763975
530,Hong Kong,South Africa,0.701298701
531,Taiwan,Taiwan,0
532,Taiwan,India,0.816568047
533,Taiwan,Israel,0.823529412
534,Taiwan,France,0.927613941
535,Taiwan,Italy,0.936170213
536,Taiwan,Sweden,0.866855524
537,Taiwan,Finland,0.870056497
538,Taiwan,Poland,0.873239437
539,Taiwan,Denmark,0.850574713
540,Taiwan,Netherlands,0.850574713
541,Taiwan,Iceland,0.853868195
542,Taiwan,Norway,0.820058997
543,Taiwan,Portugal,0.826979472
544,Taiwan,Greece,0.826979472
545,Taiwan,Czech Republic,0.780487805
546,Taiwan,Slovakia,0.761609907
547,Taiwan,Hungary,0.769230769
548,Taiwan,Bulgaria,0.801801802
549,Taiwan,Cyprus,0.77675841
550,Taiwan,Romania,0.753894081
551,Taiwan,Estonia,0.791540785
552,Taiwan,Lithuania,0.77675841
553,Taiwan,Malta,0.738170347
554,Taiwan,Ireland,0.80239521
555,Taiwan,United Kingdom,0.826979472
556,Taiwan,Latvia,0.81305638
557,Taiwan,Belgium,0.820058997
558,Taiwan,Luxembourg,0.80239521
559,Taiwan,Switzerland,0.843930636
560,Taiwan,Austria,0.850574713
561,Taiwan,Germany,0.870056497
562,Taiwan,Spain,0.944591029
563,Taiwan,Brazil,0.941798942
564,Taiwan,Guatamala,0.950131234
565,Taiwan,Peru,0.96373057
566,Taiwan,Ecuador,0.955613577
567,Taiwan,Bolivia,0.947368421
568,Taiwan,Colombia,0.952879581
569,Taiwan,Paraguay,0.96373057
570,Taiwan,Chile,0.969072165
571,Taiwan,Uruguay,0.955613577
572,Taiwan,Argentina,0.944591029
573,Taiwan,Dominican Republic,0.944591029
574,Taiwan,Costa Rica,0.927613941
575,Taiwan,Nicaragua,0.924731183
576,Taiwan,Honduras,0.930481283
577,Taiwan,El Savador,0.924731183
578,Taiwan,Panama,0.927613941
579,Taiwan,Mexico,0.950131234
580,Taiwan,United States,0.830409357
581,Taiwan,Canada,0.780487805
582,Taiwan,Australia,0.77675841
583,Taiwan,New Zealand,0.795180723
584,Taiwan,South Africa,0.753894081
585,India,India,0
586,India,Israel,0.80952381
587,India,France,0.933333333
588,India,Italy,0.930481283
589,India,Sweden,0.901098901
590,India,Finland,0.882681564
591,India,Poland,0.879551821
592,India,Denmark,0.866855524
593,India,Netherlands,0.866855524
594,India,Iceland,0.876404494
595,India,Norway,0.843930636
596,India,Portugal,0.823529412
597,India,Greece,0.833819242
598,India,Czech Republic,0.80952381
599,India,Slovakia,0.795180723
600,India,Hungary,0.791540785
601,India,Bulgaria,0.8125
602,India,Cyprus,0.795180723
603,India,Romania,0.773006135
604,India,Estonia,0.820058997
605,India,Lithuania,0.80952381
606,India,Malta,0.769230769
607,India,Ireland,0.833819242
608,India,United Kingdom,0.84057971
609,India,Latvia,0.843930636
610,India,Belgium,0.820058997
611,India,Luxembourg,0.816568047
612,India,Switzerland,0.850574713
613,India,Austria,0.870056497
614,India,Germany,0.882681564
615,India,Spain,0.936170213
616,India,Brazil,0.936170213
617,India,Guatamala,0.936170213
618,India,Peru,0.955613577
619,India,Ecuador,0.947368421
620,India,Bolivia,0.930481283
621,India,Colombia,0.941798942
622,India,Paraguay,0.947368421
623,India,Chile,0.96373057
624,India,Uruguay,0.947368421
625,India,Argentina,0.933333333
626,India,Dominican Republic,0.938992042
627,India,Costa Rica,0.907103825
628,India,Nicaragua,0.895027624
629,India,Honduras,0.910081744
630,India,El Savador,0.901098901
631,India,Panama,0.913043478
632,India,Mexico,0.933333333
633,India,United States,0.81305638
634,India,Canada,0.784194529
635,India,Australia,0.795180723
636,India,New Zealand,0.80952381
637,India,South Africa,0.773006135
638,Israel,Israel,0
639,Israel,France,0.921832884
640,Israel,Italy,0.913043478
641,Israel,Sweden,0.866855524
642,Israel,Finland,0.843930636
643,Israel,Poland,0.816568047
644,Israel,Denmark,0.830409357
645,Israel,Netherlands,0.80952381
646,Israel,Iceland,0.795180723
647,Israel,Norway,0.780487805
648,Israel,Portugal,0.738170347
649,Israel,Greece,0.753894081
650,Israel,Czech Republic,0.72611465
651,Israel,Slovakia,0.684210526
652,Israel,Hungary,0.675496689
653,Israel,Bulgaria,0.721153846
654,Israel,Cyprus,0.679867987
655,Israel,Romania,0.671096346
656,Israel,Estonia,0.73015873
657,Israel,Lithuania,0.705501618
658,Israel,Malta,0.675496689
659,Israel,Ireland,0.738170347
660,Israel,United Kingdom,0.757763975
661,Israel,Latvia,0.761609907
662,Israel,Belgium,0.734177215
663,Israel,Luxembourg,0.713826367
664,Israel,Switzerland,0.787878788
665,Israel,Austria,0.805970149
666,Israel,Germany,0.847262248
667,Israel,Spain,0.91598916
668,Israel,Brazil,0.927613941
669,Israel,Guatamala,0.918918919
670,Israel,Peru,0.947368421
671,Israel,Ecuador,0.936170213
672,Israel,Bolivia,0.91598916
673,Israel,Colombia,0.930481283
674,Israel,Paraguay,0.944591029
675,Israel,Chile,0.952879581
676,Israel,Uruguay,0.941798942
677,Israel,Argentina,0.921832884
678,Israel,Dominican Republic,0.930481283
679,Israel,Costa Rica,0.885793872
680,Israel,Nicaragua,0.901098901
681,Israel,Honduras,0.888888889
682,Israel,El Savador,0.891966759
683,Israel,Panama,0.910081744
684,Israel,Mexico,0.907103825
685,Israel,United States,0.761609907
686,Israel,Canada,0.709677419
687,Israel,Australia,0.717948718
688,Israel,New Zealand,0.72611465
689,Israel,South Africa,0.705501618
690,France,France,0
691,France,Italy,0.927613941
692,France,Sweden,0.924731183
693,France,Finland,0.918918919
694,France,Poland,0.921832884
695,France,Denmark,0.913043478
696,France,Netherlands,0.895027624
697,France,Iceland,0.921832884
698,France,Norway,0.913043478
699,France,Portugal,0.901098901
700,France,Greece,0.91598916
701,France,Czech Republic,0.910081744
702,France,Slovakia,0.901098901
703,France,Hungary,0.901098901
704,France,Bulgaria,0.906849315
705,France,Cyprus,0.898071625
706,France,Romania,0.901098901
707,France,Estonia,0.907103825
708,France,Lithuania,0.910081744
709,France,Malta,0.901098901
710,France,Ireland,0.904109589
711,France,United Kingdom,0.91598916
712,France,Latvia,0.913043478
713,France,Belgium,0.713826367
